Id;Name;BuildId;Duration;CalcPrio;LastRun;Verdict;Cycle;LastResults
1;180;1;0.94;0;2020-05-28 08:39:51.255;0;1;[]
2;2;1;0.93;0;2020-05-28 08:39:51.255;0;1;[]
3;42;1;0.21;0;2020-05-28 08:39:51.255;0;1;[]
4;53;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
5;46;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
6;106;1;1.14;0;2020-05-28 08:39:51.255;0;1;[]
7;109;1;1.15;0;2020-05-28 08:39:51.255;0;1;[]
8;41;1;0.04;0;2020-05-28 08:39:51.255;0;1;[]
9;84;1;0.78;0;2020-05-28 08:39:51.255;0;1;[]
10;45;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
11;146;1;1.15;0;2020-05-28 08:39:51.255;0;1;[]
12;105;1;1.16;0;2020-05-28 08:39:51.255;0;1;[]
13;104;1;1.21;0;2020-05-28 08:39:51.255;0;1;[]
14;48;1;1.17;0;2020-05-28 08:39:51.255;0;1;[]
15;47;1;0.03;0;2020-05-28 08:39:51.255;0;1;[]
16;55;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
17;49;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
18;132;1;1.15;0;2020-05-28 08:39:51.255;0;1;[]
19;83;1;1.14;0;2020-05-28 08:39:51.255;0;1;[]
20;50;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
21;51;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
22;52;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
23;108;1;1.18;0;2020-05-28 08:39:51.255;0;1;[]
24;110;1;1.17;0;2020-05-28 08:39:51.255;0;1;[]
25;96;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
26;90;1;0.87;0;2020-05-28 08:39:51.255;0;1;[]
27;35;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
28;20;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
29;36;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
30;107;1;0.64;0;2020-05-28 08:39:51.255;0;1;[]
31;179;1;0.63;0;2020-05-28 08:39:51.255;0;1;[]
32;67;1;2.07;0;2020-05-28 08:39:51.255;0;1;[]
33;61;1;2.08;0;2020-05-28 08:39:51.255;0;1;[]
34;60;1;2.14;0;2020-05-28 08:39:51.255;0;1;[]
35;138;1;0.65;0;2020-05-28 08:39:51.255;0;1;[]
36;34;1;0.03;0;2020-05-28 08:39:51.255;0;1;[]
37;64;1;2.16;0;2020-05-28 08:39:51.255;0;1;[]
38;65;1;2.2;0;2020-05-28 08:39:51.255;0;1;[]
39;63;1;2.31;0;2020-05-28 08:39:51.255;0;1;[]
40;137;1;0.65;0;2020-05-28 08:39:51.255;0;1;[]
41;139;1;0.63;0;2020-05-28 08:39:51.255;0;1;[]
42;28;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
43;25;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
44;23;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
45;22;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
46;21;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
47;62;1;2.18;0;2020-05-28 08:39:51.255;0;1;[]
48;77;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
